maxPopulationSize,mutationChance,iterationCount,amountOfFittestPopulationToKeep,bestGenotype,bestGenotypeScore,totalTime
5000,0.005,50,0.4,260537412,186,4971
5000,0.005,50,0.4,260531472,186,5236
5000,0.005,50,0.4,260537412,186,5391
5000,0.005,50,0.4,260531472,186,4902
5000,0.005,50,0.4,260537142,186,5061
5000,0.005,50,0.4,260537142,186,5078
5000,0.005,50,0.4,260531472,186,5363
5000,0.005,50,0.4,260537412,186,4935
5000,0.005,50,0.4,260531472,186,5572
5000,0.005,50,0.4,260531472,186,4955
5000,0.005,50,0.4,260531472,186,5017
5000,0.005,50,0.4,260537142,186,4895
5000,0.005,50,0.4,260531472,186,5248
5000,0.005,50,0.4,260537412,186,4811
5000,0.005,50,0.4,260531472,186,4887
5000,0.005,50,0.4,260537142,186,4909
5000,0.005,50,0.4,260537412,186,4840
5000,0.005,50,0.4,260531472,186,5151
5000,0.005,50,0.4,260537412,186,5298
5000,0.005,50,0.4,260537142,186,4778
5000,0.005,50,0.4,260537412,186,5408
5000,0.005,50,0.4,260537142,186,6302
5000,0.005,50,0.4,260537142,186,6157
5000,0.005,50,0.4,260537142,186,5075
5000,0.005,50,0.4,260531472,186,5583
5000,0.005,50,0.4,260531472,186,3979
5000,0.005,50,0.4,260531472,186,3983
5000,0.005,50,0.4,260537142,186,3833
5000,0.005,50,0.4,260531472,186,3695
5000,0.005,50,0.4,260537412,186,3883
5000,0.005,50,0.4,260537142,186,3957
5000,0.005,50,0.4,260537142,186,4026
5000,0.005,50,0.4,260537142,186,3982
5000,0.005,50,0.4,260531472,186,4003
5000,0.005,50,0.4,260531472,186,3889
5000,0.005,50,0.4,260531472,186,3837
5000,0.005,50,0.4,260537412,186,4127
5000,0.005,50,0.4,260537412,186,4086
5000,0.005,50,0.4,260537412,186,3863
5000,0.005,50,0.4,260537142,186,3963
5000,0.005,50,0.4,260531472,186,3889
5000,0.005,50,0.4,260537142,186,3982
5000,0.005,50,0.4,260537412,186,3926
5000,0.005,50,0.4,260537142,186,3904
5000,0.005,50,0.4,260531472,186,3970
5000,0.005,50,0.4,260531472,186,3823
5000,0.005,50,0.4,260537142,186,3866
5000,0.005,50,0.4,260531472,186,3918
5000,0.005,50,0.4,260537412,186,3829
10000,0.005,50,0.4,260537412,186,14351
10000,0.005,50,0.4,260537412,186,13990
10000,0.005,50,0.4,260537412,186,13961
10000,0.005,50,0.4,260537412,186,14393
10000,0.005,50,0.4,260537142,186,13901
10000,0.005,50,0.4,260537142,186,14028
10000,0.005,50,0.4,260531472,186,13992
10000,0.005,50,0.4,260537142,186,13775
10000,0.005,50,0.4,260537412,186,14193
10000,0.005,50,0.4,260537412,186,13723
10000,0.005,50,0.4,260531472,186,14143
10000,0.005,50,0.4,260537142,186,14037
10000,0.005,50,0.4,260537412,186,14114
10000,0.005,50,0.4,260537412,186,13747
10000,0.005,50,0.4,260537412,186,14143
10000,0.005,50,0.4,260537412,186,13841
10000,0.005,50,0.4,260537412,186,14113
10000,0.005,50,0.4,260531472,186,14167
10000,0.005,50,0.4,260531472,186,14158
10000,0.005,50,0.4,260537142,186,14421
10000,0.005,50,0.4,260537142,186,14041
10000,0.005,50,0.4,260537412,186,14271
10000,0.005,50,0.4,260537142,186,13986
10000,0.005,50,0.4,260531472,186,14002
10000,0.005,50,0.4,260537142,186,14532
10000,0.005,50,0.4,260531472,186,14035
10000,0.005,50,0.4,260537412,186,14401
10000,0.005,50,0.4,260531472,186,13798
10000,0.005,50,0.4,260531472,186,14070
10000,0.005,50,0.4,260531472,186,14302
10000,0.005,50,0.4,260531472,186,14186
10000,0.005,50,0.4,260537142,186,14047
10000,0.005,50,0.4,260537142,186,14283
10000,0.005,50,0.4,260537142,186,15248
10000,0.005,50,0.4,260531472,186,15380
10000,0.005,50,0.4,260531472,186,15880
10000,0.005,50,0.4,260537412,186,15270
10000,0.005,50,0.4,260531472,186,14205
10000,0.005,50,0.4,260531472,186,14091
10000,0.005,50,0.4,260531472,186,14035
10000,0.005,50,0.4,260537142,186,14098
10000,0.005,50,0.4,260531472,186,14024
10000,0.005,50,0.4,260531472,186,14203
10000,0.005,50,0.4,260537412,186,14291
10000,0.005,50,0.4,260531472,186,14187
10000,0.005,50,0.4,260537142,186,14105
10000,0.005,50,0.4,260531472,186,13925
10000,0.005,50,0.4,260537142,186,14318
10000,0.005,50,0.4,260537142,186,14475
10000,0.005,50,0.4,260537142,186,14079
50,0.001,50,0.4,214735062,184,6
50,0.001,50,0.4,241760532,175,5
50,0.001,50,0.4,260531472,186,9
50,0.001,50,0.4,214735062,184,8
50,0.001,50,0.4,260531472,186,8
50,0.001,50,0.4,260537412,186,10
50,0.001,50,0.4,260531472,186,10
50,0.001,50,0.4,214735062,184,10
50,0.001,50,0.4,260537412,186,12
50,0.001,50,0.4,260537412,186,10
50,0.001,50,0.4,260537412,186,10
50,0.001,50,0.4,260537142,186,8
50,0.001,50,0.4,260537412,186,8
50,0.001,50,0.4,260531472,186,9
50,0.001,50,0.4,214760532,175,11
50,0.001,50,0.4,260537412,186,8
50,0.001,50,0.4,260537142,186,10
50,0.001,50,0.4,260537142,186,9
50,0.001,50,0.4,260537412,186,10
